wavenumber_cm-1,intensity
820.7011686143572,2.662091178087535e-34
826.7111853088481,6.064101237162797e-36
832.7212020033389,1.262097311617215e-37
838.7312186978297,2.3999496038240352e-39
844.7412353923205,4.1695989477675174e-41
850.7512520868113,6.61864867046618e-43
856.7612687813022,9.599027913214539e-45
862.771285475793,1.2719442090745278e-46
868.7813021702839,1.5398972806869806e-48
874.7913188647747,1.7033281489286464e-50
880.8013355592655,1.7214236960438363e-52
886.8113522537562,1.5894984621711515e-54
892.821368948247,1.3409584740016648e-56
898.8313856427378,1.0336022069081416e-58
904.8414023372287,7.279045073383795e-61
910.8514190317195,4.683583541230224e-63
916.8614357262104,2.7533727856201946e-65
922.8714524207012,1.4788858094913853e-67
928.881469115192,7.257501759147169e-70
934.8914858096828,3.2540373962284696e-72
940.9015025041737,1.3330327256351649e-74
946.9115191986645,4.989326959067363e-77
952.9215358931552,1.7061845317164565e-79
958.931552587646,5.330806487194387e-82
964.9415692821369,1.5217479193403866e-84
970.9515859766277,3.9689478956817943e-87
976.9616026711185,9.457818169685529e-90
982.9716193656094,2.059156735837105e-92
988.9816360601002,4.096101702876727e-95
994.991652754591,7.444489805681977e-98
1001.0016694490818,1.2361809015168328e-100
1007.0116861435727,1.8754781186691126e-103
1013.0217028380634,2.5997097043823954e-106
1019.0317195325542,3.292460633199854e-109
1025.041736227045,3.809773954342552e-112
1031.0517529215358,4.0277333191226816e-115
1037.0617696160266,3.890497036337232e-118
1043.0717863105174,3.4334628427595205e-121
1049.0818030050084,2.7684870513115303e-124
1055.0918196994992,2.039555478718374e-127
1061.10183639399,1.3728131535510967e-130
1067.1118530884808,8.442483528982763e-134
1073.1218697829718,4.7436418747618475e-137
1079.1318864774626,2.4352101663468373e-140
1085.1419031719533,1.1422045450830693e-143
1091.1519198664441,4.894791550224601e-147
1097.161936560935,1.9164937229455617e-150
1103.1719532554257,6.855884342334344e-154
1109.1819699499165,2.2407966455382933e-157
1115.1919866444073,6.6915124556399064e-161
1121.202003338898,1.8256983268529597e-164
